"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/05/2026 04:45:00 - 10/05/2026 05:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6592.87"
"10/05/2026 05:00:00 - 10/05/2026 05:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","6423.50"
"10/05/2026 05:15:00 - 10/05/2026 05:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","6408.50"
"10/05/2026 05:30:00 - 10/05/2026 05:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","6433.75"
"10/05/2026 05:45:00 - 10/05/2026 06:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","6304.81"
"10/05/2026 06:00:00 - 10/05/2026 06:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","5995.20"
"10/05/2026 06:15:00 - 10/05/2026 06:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","5986.81"
"10/05/2026 06:30:00 - 10/05/2026 06:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","5942.32"
"10/05/2026 06:45:00 - 10/05/2026 07:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","5864.76"
"10/05/2026 07:00:00 - 10/05/2026 07:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","5833.78"
"10/05/2026 07:15:00 - 10/05/2026 07:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","5757.83"
"10/05/2026 07:30:00 - 10/05/2026 07:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","5625.15"
"10/05/2026 07:45:00 - 10/05/2026 08:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","5299.29"
"10/05/2026 08:00:00 - 10/05/2026 08:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","4474.38"
"10/05/2026 08:15:00 - 10/05/2026 08:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","3717.24"
"10/05/2026 08:30:00 - 10/05/2026 08:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","3153.70"
"10/05/2026 08:45:00 - 10/05/2026 09:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2705.74"
"10/05/2026 09:00:00 - 10/05/2026 09:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2602.65"
"10/05/2026 09:15:00 - 10/05/2026 09:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2608.11"
"10/05/2026 09:30:00 - 10/05/2026 09:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2615.26"
"10/05/2026 09:45:00 - 10/05/2026 10:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2546.83"
"10/05/2026 10:00:00 - 10/05/2026 10:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2435.81"
"10/05/2026 10:15:00 - 10/05/2026 10:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2400.77"
"10/05/2026 10:30:00 - 10/05/2026 10:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2373.21"
"10/05/2026 10:45:00 - 10/05/2026 11:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2348.75"
"10/05/2026 11:00:00 - 10/05/2026 11:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2349.19"
"10/05/2026 11:15:00 - 10/05/2026 11:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2350.84"
"10/05/2026 11:30:00 - 10/05/2026 11:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2340.97"
"10/05/2026 11:45:00 - 10/05/2026 12:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2360.55"
"10/05/2026 12:00:00 - 10/05/2026 12:15:00","BZN|DE-LU","Fossil Brown coal/Lignite","2382.51"
"10/05/2026 12:15:00 - 10/05/2026 12:30:00","BZN|DE-LU","Fossil Brown coal/Lignite","2370.89"
"10/05/2026 12:30:00 - 10/05/2026 12:45:00","BZN|DE-LU","Fossil Brown coal/Lignite","2389.27"
"10/05/2026 12:45:00 - 10/05/2026 13:00:00","BZN|DE-LU","Fossil Brown coal/Lignite","2378.47"
